region,tech,step,CapCostInitial
1,1,3,3716000
1,3,3,757000
1,4,3,786000
1,6,1,7477000
1,7,1,4379000
1,8,1,2950000
1,14,1,1344000
1,15,1,1361000
2,1,3,3716000
2,3,3,757000
2,4,3,786000
2,6,1,7477000
2,7,1,4379000
2,8,1,2950000
2,14,1,1344000
2,15,1,1361000
3,1,3,3716000
3,3,3,757000
3,4,3,786000
3,6,1,7477000
3,7,1,4379000
3,8,1,2950000
3,14,1,1344000
3,15,1,1361000
4,1,3,3716000
4,3,3,757000
4,4,3,786000
4,6,1,7477000
4,7,1,4379000
4,8,1,2950000
4,14,1,1344000
4,15,1,1361000
5,1,3,3716000
5,3,3,757000
5,4,3,786000
5,6,1,7477000
5,7,1,4379000
5,8,1,2950000
5,14,1,1344000
5,15,1,1361000
6,1,3,3716000
6,3,3,757000
6,4,3,786000
6,6,1,7477000
6,7,1,4379000
6,8,1,2950000
6,14,1,1344000
6,15,1,1361000
7,1,3,3716000
7,3,3,757000
7,4,3,786000
7,6,1,7477000
7,7,1,4379000
7,8,1,2950000
7,14,1,1344000
7,15,1,1361000
8,1,3,3716000
8,3,3,757000
8,4,3,786000
8,6,1,7477000
8,7,1,4379000
8,8,1,2950000
8,14,1,1344000
8,15,1,1361000
9,1,3,3716000
9,3,3,757000
9,4,3,786000
9,6,1,7477000
9,7,1,4379000
9,8,1,2950000
9,14,1,1344000
9,15,1,1361000
10,1,3,3716000
10,3,3,757000
10,4,3,786000
10,6,1,7477000
10,7,1,4379000
10,8,1,2950000
10,14,1,1344000
10,15,1,1361000
11,1,3,3716000
11,3,3,757000
11,4,3,786000
11,6,1,7477000
11,7,1,4379000
11,8,1,2950000
11,14,1,1344000
11,15,1,1361000
12,1,3,3716000
12,3,3,757000
12,4,3,786000
12,6,1,7477000
12,7,1,4379000
12,8,1,2950000
12,14,1,1344000
12,15,1,1361000
13,1,3,3716000
13,3,3,757000
13,4,3,786000
13,6,1,7477000
13,7,1,4379000
13,8,1,2950000
13,14,1,1344000
13,15,1,1361000
14,1,3,3716000
14,3,3,757000
14,4,3,786000
14,6,1,7477000
14,7,1,4379000
14,8,1,2950000
14,14,1,1344000
14,15,1,1361000
15,1,3,3716000
15,3,3,757000
15,4,3,786000
15,6,1,7477000
15,7,1,4379000
15,8,1,2950000
15,14,1,1344000
15,15,1,1361000
16,1,3,3716000
16,3,3,757000
16,4,3,786000
16,6,1,7477000
16,7,1,4379000
16,8,1,2950000
16,14,1,1344000
16,15,1,1361000
17,1,3,3716000
17,3,3,757000
17,4,3,786000
17,6,1,7477000
17,7,1,4379000
17,8,1,2950000
17,14,1,1344000
17,15,1,1361000
18,1,3,3716000
18,3,3,757000
18,4,3,786000
18,6,1,7477000
18,7,1,4379000
18,8,1,2950000
18,14,1,1344000
18,15,1,1361000
19,1,3,3716000
19,3,3,757000
19,4,3,786000
19,6,1,7477000
19,7,1,4379000
19,8,1,2950000
19,14,1,1344000
19,15,1,1361000
20,1,3,3716000
20,3,3,757000
20,4,3,786000
20,6,1,7477000
20,7,1,4379000
20,8,1,2950000
20,14,1,1344000
20,15,1,1361000
21,1,3,3716000
21,3,3,757000
21,4,3,786000
21,6,1,7477000
21,7,1,4379000
21,8,1,2950000
21,14,1,1344000
21,15,1,1361000
22,1,3,3716000
22,3,3,757000
22,4,3,786000
22,6,1,7477000
22,7,1,4379000
22,8,1,2950000
22,14,1,1344000
22,15,1,1361000
23,1,3,3716000
23,3,3,757000
23,4,3,786000
23,6,1,7477000
23,7,1,4379000
23,8,1,2950000
23,14,1,1344000
23,15,1,1361000
24,1,3,3716000
24,3,3,757000
24,4,3,786000
24,6,1,7477000
24,7,1,4379000
24,8,1,2950000
24,14,1,1344000
24,15,1,1361000
25,1,3,3716000
25,3,3,757000
25,4,3,786000
25,6,1,7477000
25,7,1,4379000
25,8,1,2950000
25,14,1,1344000
25,15,1,1361000
