region,season,HydroCapFactor
1,1,0.18
1,2,0.18
1,3,0.25
1,4,0.13
2,1,0.63
2,2,0.43
2,3,0.66
2,4,0.44
3,1,0.54
3,2,0.5
3,3,0.57
3,4,0.51
4,1,0.44
4,2,0.41
4,3,0.47
4,4,0.39
5,1,0.65
5,2,0.64
5,3,0.65
5,4,0.64
6,1,0.41
6,2,0.41
6,3,0.58
6,4,0.31
7,1,0.5
7,2,0.26
7,3,0.62
7,4,0.38
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
9,1,0.7
9,2,0.68
9,3,0.68
9,4,0.68
10,1,0.44
10,2,0.34
10,3,0.47
10,4,0.36
11,1,0.43
11,2,0.38
11,3,0.46
11,4,0.35
12,1,0.42
12,2,0.46
12,3,0.51
12,4,0.33
13,1,0.27
13,2,0.19
13,3,0.29
13,4,0.19
14,1,0.27
14,2,0.2
14,3,0.26
14,4,0.2
15,1,0.32
15,2,0.28
15,3,0.31
15,4,0.24
16,1,0.43
16,2,0.36
16,3,0.4
16,4,0.33
17,1,0.35
17,2,0.35
17,3,0.51
17,4,0.26
18,1,0.37
18,2,0.33
18,3,0.4
18,4,0.29
19,1,0.42
19,2,0.38
19,3,0.47
19,4,0.37
20,1,0.26
20,2,0.31
20,3,0.33
20,4,0.24
21,1,0.27
21,2,0.4
21,3,0.43
21,4,0.2
22,1,0.29
22,2,0.46
22,3,0.5
22,4,0.23
23,1,0.41
23,2,0.38
23,3,0.44
23,4,0.3
24,1,0.25
24,2,0.28
24,3,0.3
24,4,0.2
25,1,0.45
25,2,0.45
25,3,0.5
25,4,0.38
