restype,tech,ResTechUpperBound
spinning,1,0.4
spinning,2,0.4
spinning,3,0.8
spinning,4,0.5
spinning,6,0.0
spinning,7,0.4
spinning,8,0.4
spinning,9,0.4
spinning,10,1.0
spinning,11,1.0
spinning,12,1.0
spinning,14,0.0
spinning,5,0.0
spinning,13,0.0
spinning,15,0.0
regulation,1,0.2
regulation,2,0.2
regulation,3,0.4
regulation,4,0.25
regulation,6,0.0
regulation,7,0.2
regulation,8,0.2
regulation,9,0.2
regulation,10,1.0
regulation,11,1.0
regulation,12,1.0
regulation,14,0.0
regulation,5,0.0
regulation,13,0.0
regulation,15,0.0
flex,1,1.0
flex,2,1.0
flex,3,1.0
flex,4,1.0
flex,6,0.0
flex,7,1.0
flex,8,1.0
flex,9,1.0
flex,10,1.0
flex,11,1.0
flex,12,1.0
flex,14,0.0
flex,5,0.0
flex,13,0.0
flex,15,0.0
