Index_day,Map_day,Map_s
1,1,1
2,2,1
3,6,1
4,7,1
5,6,1
6,6,1
7,8,1
8,7,1
9,3,1
10,5,1
11,8,1
12,7,1
13,5,1
14,4,1
15,5,1
16,6,1
17,6,1
18,6,1
19,5,1
20,7,1
21,8,1
22,8,1
23,7,1
24,7,1
25,6,1
26,8,1
27,8,1
28,7,1
29,8,1
30,7,1
31,6,1
32,6,1
33,5,1
34,7,1
35,7,1
36,7,1
37,6,1
38,6,1
39,6,1
40,5,1
41,4,1
42,4,1
43,2,1
44,4,1
45,6,1
46,6,1
47,4,1
48,3,1
49,5,1
50,4,1
51,3,1
52,3,1
53,3,1
54,5,1
55,7,1
56,7,1
57,5,1
58,3,1
59,4,1
60,3,1
61,2,1
62,2,1
63,2,1
64,1,1
65,1,1
66,2,1
67,3,1
68,4,1
69,4,1
70,4,1
71,4,1
72,4,1
73,3,1
74,2,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,2,1
83,2,1
84,1,1
85,1,1
86,1,1
87,2,1
88,3,1
89,2,1
90,1,1
91,18,3
92,17,3
93,17,3
94,17,3
95,18,3
96,19,3
97,19,3
98,18,3
99,17,3
100,17,3
101,17,3
102,18,3
103,18,3
104,18,3
105,17,3
106,17,3
107,17,3
108,18,3
109,19,3
110,18,3
111,18,3
112,18,3
113,17,3
114,17,3
115,18,3
116,18,3
117,18,3
118,18,3
119,18,3
120,17,3
121,17,3
122,19,3
123,19,3
124,19,3
125,19,3
126,19,3
127,17,3
128,17,3
129,19,3
130,20,3
131,20,3
132,20,3
133,20,3
134,20,3
135,19,3
136,20,3
137,20,3
138,20,3
139,20,3
140,20,3
141,20,3
142,19,3
143,19,3
144,19,3
145,19,3
146,20,3
147,20,3
148,19,3
149,19,3
150,20,3
151,20,3
152,12,2
153,10,2
154,10,2
155,9,2
156,9,2
157,10,2
158,11,2
159,11,2
160,11,2
161,10,2
162,10,2
163,10,2
164,14,2
165,15,2
166,15,2
167,16,2
168,15,2
169,11,2
170,9,2
171,11,2
172,13,2
173,15,2
174,14,2
175,14,2
176,13,2
177,12,2
178,13,2
179,12,2
180,12,2
181,14,2
182,14,2
183,13,2
184,11,2
185,11,2
186,14,2
187,15,2
188,15,2
189,15,2
190,13,2
191,12,2
192,14,2
193,16,2
194,15,2
195,15,2
196,14,2
197,13,2
198,13,2
199,15,2
200,16,2
201,16,2
202,16,2
203,16,2
204,16,2
205,15,2
206,16,2
207,14,2
208,15,2
209,16,2
210,15,2
211,13,2
212,12,2
213,14,2
214,16,2
215,16,2
216,16,2
217,16,2
218,15,2
219,14,2
220,16,2
221,16,2
222,15,2
223,14,2
224,13,2
225,11,2
226,10,2
227,12,2
228,13,2
229,13,2
230,12,2
231,12,2
232,11,2
233,11,2
234,12,2
235,13,2
236,13,2
237,13,2
238,14,2
239,12,2
240,12,2
241,14,2
242,14,2
243,13,2
244,13,2
245,12,2
246,11,2
247,10,2
248,10,2
249,12,2
250,12,2
251,11,2
252,11,2
253,10,2
254,9,2
255,10,2
256,10,2
257,10,2
258,9,2
259,10,2
260,9,2
261,9,2
262,11,2
263,11,2
264,12,2
265,10,2
266,9,2
267,9,2
268,9,2
269,9,2
270,9,2
271,9,2
272,9,2
273,9,2
274,21,4
275,21,4
276,22,4
277,23,4
278,23,4
279,23,4
280,23,4
281,21,4
282,21,4
283,22,4
284,24,4
285,24,4
286,24,4
287,23,4
288,21,4
289,21,4
290,22,4
291,23,4
292,23,4
293,23,4
294,23,4
295,21,4
296,21,4
297,22,4
298,22,4
299,22,4
300,22,4
301,22,4
302,21,4
303,21,4
304,22,4
305,22,4
306,22,4
307,23,4
308,23,4
309,21,4
310,21,4
311,22,4
312,23,4
313,23,4
314,23,4
315,23,4
316,22,4
317,22,4
318,24,4
319,24,4
320,24,4
321,24,4
322,24,4
323,24,4
324,24,4
325,24,4
326,24,4
327,24,4
328,22,4
329,21,4
330,21,4
331,21,4
332,23,4
333,24,4
334,24,4
335,5,1
336,5,1
337,2,1
338,2,1
339,4,1
340,4,1
341,3,1
342,3,1
343,3,1
344,3,1
345,2,1
346,3,1
347,5,1
348,5,1
349,5,1
350,6,1
351,5,1
352,5,1
353,8,1
354,7,1
355,8,1
356,8,1
357,8,1
358,8,1
359,8,1
360,8,1
361,8,1
362,7,1
363,4,1
364,2,1
365,1,1
